STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING,COORDINATES
210,ABBOTT ST,64,Provincial Rental Housing Corporation,5,"[49.2836299, -123.1064777]"
320,ABBOTT ST,60,0707892 BC Ltd,6,"[49.2822706, -123.1070542]"
404,ABBOTT ST,71,Central City Foundation,2,"[49.28173289999999, -123.107112]"
1932,ALBERNI ST,43,Herta Field,5,"[49.29346770000001, -123.1363806]"
90,ALEXANDER ST,58,Powell Street Holdings Ltd,6,"[49.283638, -123.102348]"
362,ALEXANDER ST,23,Babek Industries Ltd,82,"[49.2839116, -123.0959106]"
504,ALEXANDER ST,38,Decker Residence Ltd,37,"[49.2839456, -123.0931372]"
610,ALEXANDER ST,46,Herbert Snider & Bridgit Snider,1,"[49.2839316, -123.0912764]"
658,ALEXANDER ST,19,0825543 BC Ltd,19,"[49.2839143, -123.0902529]"
1680,BALSAM ST,35,Kentrol Investment Inc,2,"[49.2708968, -123.1598065]"
1975,BALSAM ST,9,Loleon Holdings Inc,2,"[49.2684349, -123.1598828]"
5603,BALSAM ST,54,Austeville Properties Ltd,1,"[49.2351365, -123.1613485]"
1040,BARCLAY ST,40,Willy Enterprises Ltd,2,"[49.2824415, -123.126118]"
1170,BARCLAY ST,15,1170 Barclay Street Inc,1,"[49.2844822, -123.1289536]"
1339,BARCLAY ST,21,Kayoko Shimizu,1,"[49.2859351, -123.131148]"
1395,BEACH AV,91,Bonniehon Enterprises Ltd,1,"[49.2815891, -123.1394629]"
1519,BEACH AV,12,Mrs W Gutmann & Estate Of Dr Gutmann (W Gutmann),1,"[49.28239, -123.1406861]"
1531,BEACH AV,40,Harob Holdings Ltd,2,"[49.2827041, -123.1413629]"
1170,BIDWELL ST,10,Reliance Holdings Ltd,2,"[49.2868733, -123.1392097]"
1031,BURNABY ST,27,Radio City Investments Ltd,1,"[49.278903, -123.130923]"
1075,BURNABY ST,53,0864564 BC Ltd,1,"[49.2796283, -123.1321415]"
1537,BURNABY ST,22,Charles Hudson,3,"[49.2840561, -123.1389682]"
601,BUTE ST,23,Huntly Investments Ltd,3,"[49.2882296, -123.1236689]"
1376,BUTE ST,31,Royal Mansions Investment Ltd,1,"[49.2796762, -123.1365132]"
317,CAMBIE ST,18,Danny's Inn Ltd,30,"[49.2829398, -123.1093933]"
322,CAMBIE ST,9,Philip Swartz & Shirley Swartz,3,"[49.2834085, -123.1091705]"
340,CAMBIE ST,44,635142 BC Ltd,3,"[49.2827797, -123.1092946]"
3850,CAMBIE ST,14,Mo-Ping Tsang,1,"[49.2505405, -123.1152585]"
7516,CAMBIE ST,7,Gardenia Investments Ltd,3,"[49.2168039, -123.1166769]"
1225,CARDERO ST,169,331750 BC Ltd,1,"[49.28522479999999, -123.1386885]"
2323,CAROLINA ST,14,Demetre Patseas,1,"[49.2639013, -123.0910584]"
204,CARRALL ST,41,Jim G Z Wu & Betty Shiao Bing,42,"[49.2831923, -123.1042094]"
309,CARRALL ST,41,PHS Community Services Society,4,"[49.2822602, -123.1043673]"
488,CARRALL ST,92,0757745 BC Ltd,24,"[49.2806492, -123.1043394]"
8632,CARTIER ST,10,Man L So & David J So,5,"[49.20822680000001, -123.1376739]"
8709,CARTIER ST,6,Jim Frangolias,1,"[49.2069292, -123.137737]"
5487,CECIL ST,19,0809698 BC Ltd,29,"[49.2349189, -123.0368144]"
905,CHILCO ST,15,Mauro Management Ltd,1,"[49.2923277, -123.1400248]"
930,CHILCO ST,29,EMV Holdings Corp,1,"[49.2923463, -123.139945]"
1020,CHILCO ST,6,Moza Holdings Limited,1,"[49.2907215, -123.1421066]"
2308,CLARK DRIVE,5,Armando Ferreira,3,"[49.2640444, -123.0772278]"
303,COLUMBIA ST,79,Seven Estate Ltd,1,"[49.2822062, -123.1023788]"
351,COLUMBIA ST,27,Persepolis Investments Inc,39,"[49.2814373, -123.1022801]"
412,COLUMBIA ST,7,Oscar Enterprises Inc,3,"[49.2813189, -123.1022483]"
2615,COLUMBIA ST,13,673854 BC Ltd,2,"[49.2621178, -123.1095064]"
